,Repository,Notebook Path
188,mgribov/coursera-uw-ml,course-4/2_kmeans-with-text-data_blank.ipynb
189,zach401/acnportal,tutorials/lesson1_running_an_experiment.ipynb
190,nthiery/harmonic-modules,compute_character.ipynb
191,sandiegodata-projects/holagonzalo,SDCrime.ipynb
192,doppelgenkan/activity,up-down_stairs/up-down_stairs.ipynb
193,jpbacher/foreclosures,06_FinalScript.ipynb
194,manantomar/test,doc/ipython-notebooks/classification/MKL.ipynb
195,sandeeppaulraj/artificial-intelligence,Projects/4_HMM\ Tagger/HMM\ Tagger.ipynb
196,tonydisera/w207_6_sum19_g5_final_project,merge_pancancer_somatic_mutations/Logistic_regression.ipynb
197,asnatm/NLPHW2,plot_out_of_core_classification.ipynb
198,learn-co-students/python-lists-lab-data-science-intro-000,index.ipynb
199,shonxg/Selfdriving,traffic-signs/Traffic_Signs_Recognition.ipynb
200,DrSoap/SSY226_Energy_Consumption,Setup.ipynb
201,leemengtaiwan/leemengtaiwan.github.io,notebooks/neural-machine-translation-with-transformer-and-tensorflow2.ipynb
202,maneesh-chouksey/rnn-sequence-generator,RNN_project.ipynb
203,alchy/Tensorflow-101,expl_01_introduction.py.ipynb
204,ChasNelson1990/python-1day-course,notebooks/06_python-loops.ipynb
205,lealldiogo/CarND-Traffic-Sign-Classifier-Project,Traffic_Sign_Classifier.ipynb
206,learn-co-students/plotting-data-readme-dc-ds-career-012919,index.ipynb
207,forrestsheldon/memNets,Histograms.ipynb
208,sergegoussev/training_and_experiments,walkthroughs/Visualizing_netwroks_in_igraph.ipynb
209,leandroohf/LDA,intro_fishers_lda.ipynb
210,paul-shannon/cyjs-jupyter,self-contained-notebooks/simple/waitOnBrowserResponse.ipynb
211,mojia/rocket,RocketRegression.ipynb
212,gshind/NYCTraffic,RegionsBarCode.ipynb
213,Guoleming/Caffewindows,examples/detection.ipynb
214,jessehahm/SlopeAreaAnalysis,SlopeAreaAnalysis.ipynb
215,willijm92/willijm92-repo,Continuum_blog_post/Jupyter_notebook_files/blog_post_notebook.ipynb
216,jonad/TrafficSignDetection,Traffic_Sign_Classifier.ipynb
217,ZaraYar/Analyzing-NYC-High-School-Data,Basics.ipynb
218,WillieMaddox/MixSig,mixsig.ipynb
219,Vaibhav488/DataScience-iPython-notebooks,kaggle/titanic.ipynb
220,STILLSHI/MLND,projects/smartcab/smartcab.ipynb
221,Rishivikram1/mxnet,chapter02_supervised-learning/softmax-regression-scratch.ipynb
222,axsh/nii-project-2016,notebooks/103_jenkins_job_execution_script.ipynb
223,IvanBrasilico/ajna_docs,notebooks/ContainerDetectionTraining1.ipynb
224,jpcolino/IPython_notebooks,Multiprocessing\ MonteCarlo\ Simulation.ipynb
225,odebeir/info-h-500-501,05-Morphomathematics/01-Operators.ipynb
226,ekostat/ekostat_calculator,notebooks/lv_notebook_Indicator-Copy1.ipynb
227,188xuhe/handson-ml,13_convolutional_neural_networks.ipynb
228,broadinstitute/wot,notebooks/Notebook-2-compute-transport-maps.ipynb
229,youfengx/deep-learning,gan_mnist/Intro_to_GANs_Exercises.ipynb
230,qwretz/fpraktikum,Dynamic\ Light\ Scattering/Struktur.ipynb
231,AlexlwAstro/phd_work,franec_stampe_plots.ipynb
232,tralpha/spotify-project,DataLoader.ipynb
233,SlaybaughLab/88_Data,Experiments/PHS/33MeVTa_29-31Mar17/33MeVTa_BeamOnly.ipynb
234,invibe/ANEMO,dev/2018-06-08_Fit_position.ipynb
235,VictorZuanazzi/MachineLearningLab2,12325724_12372773_lab2.ipynb
236,compercept/acm2017_abc,notebooks/Tuberculosis.ipynb
237,lancerdancer/CarND-TensorFlow-Lab,lab.ipynb
238,schen57/AI-ML-DL-Playground,Local\ Python/AI-ML-DL\ Algorithms/LSTM\ Neural\ Networks/Time\ Series\ Forecasting\ with\ the\ Long\ Short-Term\ Memory\ Network\ in\ Python.ipynb
239,Alezzo1592/AA,TP1/TP1.ipynb
240,rambandaru/MAE6286,Assignments/Assign_2.ipynb
241,dpploy/engy-4350,notebooks/02b-cumulative-fission-product-yields.ipynb
242,pythonsd/intro-to-python,part-1.ipynb
243,tessadgreen/cellfate,model.ipynb
244,hfoffani/tensorflow-dl,4_convolutions.ipynb
245,mth229/229-projects,graphics.ipynb
246,yoshihikosuzuki/BITS,docs/usage.ipynb
247,jinjagit/JupyterNotebooks,test.ipynb
248,rfeinman/hw-mathtools,Feinman_Reuben_HW6/hw6.ipynb
249,kaiszybiak/RoboND-Rover-Project,code/Rover_Project_Test_Notebook.ipynb
250,joanna-lewis/ct_surveillance,three_compartment_model/three_compartment_model.ipynb
251,fanxiao001/ift6135-assignment,assignment4/ift6135_hwk4.ipynb
252,jangeloni/challenge_amadeus,second_exercise.ipynb
253,marthtz/CarND-T1P1-LaneLines,P1.ipynb
254,CyrilWendl/SIE-Project,Code/decision_tree.ipynb
255,AUP-CS2091/class,week1/lab01/lab01.ipynb
256,vdabravolski/machine-learning,projects/finding_donors/finding_donors.ipynb
257,dsqx71/Social_Media_Cascade_Prediction,main.ipynb
258,kent-huynh/ucb_project_1,Python\ Analytics\ -\ Best\ Region\ for\ Undergrad\ Degrees.ipynb
259,cbelyea/LRMF-Biodiversity-BAP,Large_River_Monitoring_Forum_Biodiversity_Indices_Analysis.ipynb
260,wakemeup-xyz/TianChi_IJCAI-17_sales_prediction_code,Prediction.ipynb
261,GuilhermeFreire/Keystrokes,Keystroke\ Analysis.ipynb
262,AgremE/Hand_Signs_Recognizer,asl_recognizer.ipynb
263,guneykan/montecarlo,PS3/PS3.ipynb
264,ColiLea/prosodyAOA,egemap_prosody_feature_analysis.ipynb
265,davidbrochart/pangeo-streamflow,notebooks/amazonas_fit.ipynb
266,developer-smartwebzone/data-visualization,location-history/visualize-location-history.ipynb
267,pradau/python_for_psychologists,Python_for_Psychologists.ipynb
268,KDD-OpenSource/wRaR,examples/test_run.ipynb
269,babinyurii/cheet_sheets,matplotlib_cheet_sheet.ipynb
270,barrasa8/GA_DS_FinalProject,code/GA_FinalProject_TimeSeries_ActiveUsers.ipynb
271,roshcagra/Shakespearebot,hmm-rhyme-and-meter.ipynb
272,djaballah/Stack-Overflow-2018-Developer-Survey-Analysis,Simple Eda.ipynb
273,trixxupthesleeave/DriveSim,SupportVector.py.ipynb
274,sabbirahm3d/linkin-park-lyrical-analysis,notebooks/linkin-park-analysis.ipynb
275,thenielda/Principles-of-Machine-Learning-R,Module4/IntroductionToRegression.ipynb
276,liyaoran/Fastai,docs_src/callbacks.ipynb
277,rlabbe/Kalman-and-Bayesian-Filters-in-Python,06-Multivariate-Kalman-Filters.ipynb
